job_title,seniority_level,status,company,location,post_date,headquarter,industry,ownership,company_size,revenue,salary,skills,state,fips,fips_int,salary_mid,seniority_level_norm,skills_list,skills_clean
data scientist,senior,hybrid,company_003,"Grapevine, TX . Hybrid",17 days ago,"Bentonville, AR, US",Retail,Public,€352.44B,Public,"€100,472 - €200,938","['spark', 'r', 'python', 'scala', 'machine learning', 'tensorflow']",AR,05,5,150705.0,senior,"['spark', 'r', 'python', 'scala', 'machine learning', 'tensorflow']",spark|r|python|scala|machine learning|tensorflow
data scientist,lead,hybrid,company_005,"Fort Worth, TX . Hybrid",15 days ago,"Detroit, MI, US",Manufacturing,Public,"155,030",€51.10B,"€118,733","['spark', 'r', 'python', 'sql', 'machine learning']",MI,26,26,118733.0,lead,"['spark', 'r', 'python', 'sql', 'machine learning']",spark|r|python|sql|machine learning
data scientist,senior,on-site,company_007,"Austin, TX . Toronto, Ontario, Canada . Kirkland, WA . Orlando, FL . Edmonton, Alberta, Canada + 1 More",a month ago,"Redwood City, CA, US",Technology,Public,"25,930",€33.80B,"€94,987 - €159,559","['aws', 'git', 'python', 'docker', 'sql', 'machine learning', 'gcp', 'kubernetes', 'deep learning']",CA,06,6,127273.0,senior,"['aws', 'git', 'python', 'docker', 'sql', 'machine learning', 'gcp', 'kubernetes', 'deep learning']",aws|git|python|docker|sql|machine learning|gcp|kubernetes|deep learning
data scientist,senior,hybrid,company_008,"Chicago, IL . Scottsdale, AZ . Austin, TX . Hybrid",8 days ago,"San Jose, CA, US",Technology,Public,"34,690",€81.71B,"€112,797 - €194,402","['sql', 'r', 'python']",CA,06,6,153599.5,senior,"['sql', 'r', 'python']",sql|r|python
data scientist,,on-site,company_009,On-site,3 days ago,"Stamford, CT, US",Finance,Private,"1,800",Private,"€114,172 - €228,337",[],CT,09,9,171254.5,,[],
data scientist,lead,,company_013,"New York, NY",3 months ago,"New York, NY, US",Technology,Private,150,€2.16B,"€196,371 - €251,170","['scikit-learn', 'python', 'scala', 'sql', 'machine learning', 'tensorflow']",NY,36,36,223770.5,lead,"['scikit-learn', 'python', 'scala', 'sql', 'machine learning', 'tensorflow']",scikit-learn|python|scala|sql|machine learning|tensorflow
data scientist,junior,,company_014,"Berkeley, CA",15 days ago,"Berkeley, CA, US",Education,,"17,471",Education,"€51,330 - €70,144",[],CA,06,6,60737.0,junior,[],
machine learning engineer,senior,on-site,company_015,"Menlo Park, CA",9 days ago,"Menlo Park, CA, US",Technology,Public,900,Public,"€121,480 - €132,440",['machine learning'],CA,06,6,126960.0,senior,['machine learning'],machine learning
data scientist,senior,remote,company_019,Fully Remote,6 days ago,"Boston, MA, US",Technology,Private,126,Private,"€207,331",[],MA,25,25,207331.0,senior,[],
data scientist,senior,on-site,company_021,On-site,a day ago,"San Francisco, CA, US",Technology,Public,"5,520",€61.06B,"€219,201",[],CA,06,6,219201.0,senior,[],
