id,skill_python,skill_machine_learning,skill_sql,skill_r,skill_aws,skill_deep_learning,skill_tensorflow,skill_spark,skill_azure,skill_pytorch,skill_tableau,skill_gcp,skill_scikit-learn,skill_scala,skill_database,skill_pandas,skill_java,skill_hadoop,skill_git,skill_numpy,skill_docker,skill_amazon,skill_kubernetes,skill_matplotlib,skill_keras,skill_powerbi,skill_airflow,skill_linux,skill_neural_network,skill_scipy,skill_bash,skill_sklearn,skill_opencv,salary_mid_scaled,seniority_level_num,status_clean,status_hybrid,status_on_site,status_remote,industry_clean,industry_retail,industry_manufacturing,industry_technology,industry_finance,industry_education,industry_healthcare,industry_energy,industry_logistics,ownership_clean,ownership_Private,ownership_Public,ownership_nan,state_clean,state_AL,state_AR,state_AZ,state_CA,state_CO,state_CT,state_DC,state_DE,state_FL,state_GA,state_ID,state_IL,state_IN,state_KS,state_MA,state_MD,state_MI,state_MN,state_MO,state_MT,state_NAN,state_NC,state_NE,state_NH,state_NJ,state_NM,state_NY,state_OH,state_OK,state_OR,state_PA,state_RI,state_SC,state_TN,state_TX,state_UT,state_VA,state_WA,state_WI,state_WY,company_size_bucket,company_size_large,company_size_medium,company_size_small,company_size_unknown,company_size_very_large,post_age_scaled,fips_int_scaled,job_is_data_scientist,job_is_data_engineer,job_is_ml_engineer,job_is_analyst
0,1,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05256274964104381,3.0,0.0,1,0,0,0.0,1,0,0,0,0,0,0,0,0.0,0,1,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1,0.6521739130434783,0.07272727272727272,1,0,0,0
1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04086392449991291,4.0,0.0,1,0,0,0.0,0,1,0,0,0,0,0,0,0.0,0,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0.5652173913043478,0.45454545454545453,1,0,0,0
2,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.043988782710386386,3.0,0.0,0,1,0,0.0,0,0,1,0,0,0,0,0,0.0,0,1,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,1.0,0.09090909090909091,1,0,0,0
3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.053621871665659196,3.0,0.0,1,0,0,0.0,0,0,1,0,0,0,0,0,0.0,0,1,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0.2608695652173913,0.09090909090909091,1,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06008198544855254,3.0,0.0,0,1,0,0.0,0,0,0,1,0,0,0,0,0.0,1,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,0,0,0,0.043478260869565216,0.14545454545454545,1,0,0,0
5,1,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07929803390068658,4.0,0.0,0,0,0,0.0,0,0,1,0,0,0,0,0,0.0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,0,0.043478260869565216,0.6363636363636364,1,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01964269771131579,1.0,0.0,0,0,0,0.0,0,0,0,0,1,0,0,0,0.0,0,0,1,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0.5652173913043478,0.09090909090909091,1,0,0,0
7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04387425336379643,3.0,0.0,0,1,0,0.0,0,0,1,0,0,0,0,0,0.0,0,1,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,0,0.30434782608695654,0.09090909090909091,0,0,1,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07328268184552517,3.0,0.0,0,0,1,0.0,0,0,1,0,0,0,0,0,0.0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,0,0.17391304347826086,0.43636363636363634,1,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07762601521300995,3.0,0.0,0,1,0,0.0,0,0,1,0,0,0,0,0,0.0,0,1,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,0,0,0,1.0,0.09090909090909091,1,0,0,0
