job_id,pca_x,pca_y,salary,experience_level,work_type,state,region,engagement_rate,remote,title
2558399667,0.2801200552338314,0.16486890157823852,135200.0,Mid-Senior level,Contract,CA,West,,0,"Validation Engineer, Labware LIMS"
2989631782,-0.9020409527448617,0.3313785191993605,82500.0,Associate,Full-time,NY,Northeast,,0,Administrative Assistant - CONCUR
3177010992,-1.2925589944679778,-0.29031412306573623,90000.0,Entry level,Full-time,FL,Southeast,,0,Customer Service Representative
3550388220,1.5216816744632289,-3.45984475574616,38480.0,Associate,Contract,VA,Southeast,14.285714285714285,0,Inbound Call Center Specialist
3619548798,0.9247292853148853,2.638171772377109,170000.0,Mid-Senior level,Full-time,CA,West,,0,Senior Mechanical Engineer
3627141928,0.1386530296677807,-0.24161218603552123,73840.0,Associate,Full-time,IN,Midwest,,0,Quality Engineer
3681437990,-0.43502853611589987,-0.07839808303947562,66000.0,Associate,Full-time,WA,West,,0,Quality Assurance Specialist
3803052628,4.681529371564557,0.2630514698967926,155000.0,Mid-Senior level,Full-time,TX,Southwest,18.91891891891892,0,Flight Software Engineer
3831190800,0.39659348667261407,2.376389063616977,160000.0,Mid-Senior level,Full-time,NY,Northeast,,0,Senior Labor & Employment Attorney 
3861222472,-0.3061707239965717,-3.949240268548369,33092.8,Entry level,Part-time,MN,Midwest,,0,Part Time Driver (Manheim)
3863624365,-0.274124315914962,-0.5973248897112231,54080.0,Associate,Full-time,TX,Southwest,,0,Technical Planner
3865391975,-1.383344903264135,-2.8978136489000823,48880.0,Entry level,Part-time,AZ,Southwest,,0,"SPS-02 Shipping (Non-Fork Lift) - Glendale, AZ"
3875041552,-1.7741521948216128,-0.4126843563594216,60000.0,Entry level,Full-time,SC,Southeast,,0,Medical Equipment Outside Sales Representative 
3876572082,-0.2250380601082459,0.41361856162505894,59500.0,Associate,Full-time,MD,Northeast,,0,Education Budget Manager 
3880157614,2.867686420025988,-3.0817236499378033,33280.0,Entry level,Full-time,AZ,Southwest,30.76923076923077,0,Data Entry Specialist
3884425974,-0.28040103990704124,1.5748310191497759,85000.0,Mid-Senior level,Full-time,VA,Southeast,,0,Financial Operations & Decision Support Manager
3884426762,-0.7578600735321023,-0.9767398091479089,94265.6,Mid-Senior level,Part-time,VA,Southeast,,0,PRN Registered Nurse
3884426975,5.14348768377112,-0.9763213452425367,120000.0,Mid-Senior level,Full-time,VA,Southeast,26.82926829268293,0,Azure Data Engineer (Full time)
3884426999,-1.8449768006009406,-0.6533593494288698,49389.6,Entry level,Full-time,MI,Midwest,,0,Heat Treat Operator
3884427990,1.015504105088733,-0.4049941037287485,105000.0,Associate,Full-time,NJ,Northeast,12.5,0,Product Marketing Specialist
3884428983,-0.8498316019291952,0.2624347258976437,92500.0,Entry level,Full-time,NY,Northeast,,0,Application Engineer
3884429625,-1.3094295296768677,0.38976054187055165,86000.0,Entry level,Full-time,GA,Southeast,,0,Store Manager
3884429653,0.2869704133893777,1.1018595986902837,103500.0,Mid-Senior level,Full-time,MI,Midwest,,0,Estimation Engineer
3884429657,-1.7614947955435003,-0.2284006725004166,53040.0,Entry level,Full-time,CT,Northeast,,0,Billing Specialist
3884429686,-0.25076270203220896,1.4997257680938194,122699.2,Mid-Senior level,Full-time,OR,West,,0,RN - Pre-op and PACU 0.9 FTE Day
3884429703,-1.6989920047739466,-0.5993358076831129,47320.0,Entry level,Full-time,AZ,Southwest,,0,Refugee Medical Assistant
3884429705,-1.405358294246146,-0.6238299989009792,54236.0,Entry level,Full-time,AZ,Southwest,,0,Procurement Specialist
3884429788,-0.44992595309403327,0.959056358831105,59987.2,Mid-Senior level,Full-time,CO,West,,0,Customer Service Representative
3884429852,-1.6936102184378827,-2.9717490842569747,50960.0,Internship,Part-time,IA,Midwest,,0,Early Childhood Associate 2024-25 School Year
3884429878,0.47985856194969967,1.7280134179178082,192500.0,Executive,Full-time,NY,Northeast,,0,"AVP, Underwriting Team Leader | Hybrid"
3884430432,-1.9429649311123016,-2.64770539448953,35360.0,Entry level,Part-time,CA,West,,0,Store Experience Guide – Part Time – Carlsbad
3884430583,-1.1200165831007711,0.29525855565925746,86000.0,Entry level,Full-time,GA,Southeast,,0,Store Manager
3884430601,4.078168145510645,-2.7831736606943918,97500.0,Entry level,Full-time,FL,Southeast,50.0,0,Database Administrator (BOCA RATON)
3884430605,-1.0550215877317777,0.1608734866717847,86000.0,Entry level,Full-time,IN,Midwest,,0,Store Manager
3884430611,2.7747329210768044,-3.772881896593997,78000.0,Associate,Contract,IL,Midwest,13.333333333333334,0,Digital Designer
3884430657,0.5030752181442028,-2.4639029354536133,46540.0,Associate,Contract,CA,West,,0,Medical Claims Processor
3884430673,-0.973148335902523,0.0016989118054867819,86049.6,Associate,Full-time,MN,Midwest,,0,Police Records Specialist
3884430690,1.9538906216686152,1.7999846970223763,90000.0,Mid-Senior level,Full-time,NY,Northeast,5.0,0,Senior Sales Manager - Renaissance Harlem 
3884430691,-0.6240203582739986,-1.4845162253971387,38334.4,Entry level,Full-time,IN,Midwest,12.5,0,Patient Coordinator
3884430719,2.8479956419656047,-3.386754304858392,62400.0,Associate,Contract,DC,Northeast,13.88888888888889,0,Staff Accountant
3884430751,2.077665101821245,1.0977565257066033,180000.0,Director,Full-time,NY,Northeast,14.285714285714285,0,CHIEF OF STAFF
3884430769,-0.8217728201233973,-3.197493066484207,57200.0,Entry level,Part-time,MN,Midwest,14.285714285714285,0,Chemist I 
3884430781,-0.6001211987850789,1.098588536413485,64480.0,Mid-Senior level,Full-time,CA,West,,0,Bookkeeper
3884430793,-0.8512380621217568,-0.07968138891387548,84094.4,Associate,Full-time,MN,Midwest,,0,"Foreperson, Commuter Rail"
3884431121,2.352467550439063,-2.2838141017683053,46800.0,Mid-Senior level,Contract,NY,Northeast,7.6923076923076925,0,Computer Field Service Technician 
3884431507,-0.21873522949962645,-0.7157888826898158,64500.0,Mid-Senior level,Temporary,NY,Northeast,,0,People Experience Expert Level II
3884431554,2.883809350319957,0.32979292198646437,90000.0,Mid-Senior level,Full-time,FL,Southeast,27.27272727272727,0,Senior HR Generalist
3884431614,0.6476951838953094,-2.3926895084918947,54080.0,Associate,Temporary,CA,West,16.666666666666664,0,Accounts Payable Clerk - Temp to Hire
3884431621,0.37851296023558634,0.7777316066111954,82500.0,Mid-Senior level,Full-time,CO,West,,0,Banking Operations Systems Analyst
3884431637,-0.5449577429358835,0.09338070486079211,62500.0,Associate,Full-time,NM,Southwest,,1,Rental Linen & Uniform Sales
3884431641,1.5430624024041788,0.51825433518736,150800.0,Mid-Senior level,Contract,CA,West,,0,Financial Director
3884431648,1.7697565528294814,-0.23369550505800138,117656.35,Associate,Full-time,NJ,Northeast,2.272727272727273,0,Principal Engineer- Water Department
3884431706,-0.13200513637232175,-0.9835336472563634,56291.775,Entry level,Full-time,NJ,Northeast,12.5,0,Clerk 1/ Community Service Aide
3884431709,0.7726497761635304,1.208051162941259,72500.0,Mid-Senior level,Full-time,CT,Northeast,,0,Insurance Account Manager - New Haven CT
3884431728,-0.005239781761512027,1.0765914762161775,87672.0,Mid-Senior level,Full-time,OR,West,,0,Respiratory Care Practitioner
3884431734,2.4409466865578455,-2.0766060109782845,50000.0,Associate,Full-time,AL,Southeast,13.23529411764706,0,Marketing Specialist
3884431797,-1.2692917870038771,-3.318533261234869,55949.5,Entry level,Internship,IA,Midwest,,0,Work Based Learning Coordinator
3884431803,-0.9257215311580984,-1.0385480257863826,47840.0,Entry level,Full-time,FL,Southeast,,0,Sales Assistant (Full-Time)
3884431822,0.7520143297729001,1.6976330477488395,75000.0,Mid-Senior level,Full-time,OR,West,,1,Commercial Lines Account Manager - Workers' Compensation
3884431973,-0.9733250873436378,0.3386634242811207,32150.0,Mid-Senior level,Full-time,GA,Southeast,,0,Assistant Claims Examiner (Onsite Atlanta GA.)
3884432469,-0.48972186576596494,-0.05056857021060102,66040.0,Associate,Full-time,CA,West,,0,Staff Accountant
3884432481,1.4817585835097367,-0.9935513499644453,86000.0,Entry level,Full-time,GA,Southeast,25.0,0,Store Manager
3884432486,0.9846829823714823,-0.9866030852102057,93600.0,Mid-Senior level,Contract,MA,Northeast,,0,Electrical & Instrumentation Inspectors - Contract
3884432491,0.8689874444313126,-2.675650821924142,57959.2,Associate,Contract,NC,Southeast,,0,HRIS & People Data Administrator
3884432493,-0.3540956485868915,-2.2097224787206455,38334.4,Associate,Contract,HI,West,,0,Office Assistant
3884432498,0.004899113771614098,-0.07179834861007031,92500.0,Associate,Full-time,NJ,Northeast,,0,Fair Lending Compliance Analyst
3884432529,-1.2195931124263044,-0.046824944232409856,85700.0,Entry level,Full-time,OR,West,,0,"Bilingual Staff Attorney, Farmworker Program"
3884432572,0.23455105471721527,-1.9604940519905927,43680.0,Associate,Contract,WA,West,,1,IT Service Desk Specialist I
3884432583,-1.8687812765515495,-0.6930378824337987,41600.0,Entry level,Full-time,VA,Southeast,,0,Dental Assistant-Oral Surgery/Endo/General Anesthesia
3884432610,2.788652222857545,-3.686435410165569,59800.0,Associate,Contract,OK,Southwest,15.789473684210526,0,Financial Analyst
3884432618,4.069966329598754,-3.8386789748916983,72248.8,Associate,Contract,CA,West,20.8955223880597,0,Biopharmaceutical Manufacturing Production Specialist
3884432630,1.4245023155788257,-1.3494555077712784,71936.5,Associate,Full-time,MN,Midwest,8.333333333333332,0,Associate Communications Specialist - Transit Control Center
3884432773,1.0759176961977368,-0.1261959378374257,77500.0,Associate,Full-time,MN,Midwest,5.555555555555555,0,Senior Staff Accountant (26391)
3884432782,-0.8018451125477033,0.13443647956439625,70000.0,Associate,Full-time,NY,Northeast,,0,Staff Accountant
3884433240,-0.8377687972881961,-0.08855223208458744,52124.8,Associate,Full-time,CA,West,,0,Store Loss Prevention Investigator
3884433241,3.658087037715664,0.12874226225508642,104500.0,Mid-Senior level,Full-time,CA,West,20.930232558139537,0,Site Warehouse Manager
3884433264,2.2456476062204467,0.9457754847663032,122500.0,Mid-Senior level,Full-time,NJ,Northeast,3.6363636363636362,0,Manager - Digital Marketing
3884433270,-0.07545135548341694,-0.1474778375763382,72800.0,Associate,Full-time,MI,Midwest,,0,Installation Engineer
3884433290,-0.9544101326137187,-0.9420414182317004,62731.89,Mid-Senior level,Part-time,NY,Northeast,,0,Registered Nurse (Bronx | 24 Hours/Week | Part-Time)
3884433292,-0.21235416969167056,0.15933707108051387,100000.0,Associate,Full-time,NY,Northeast,,0,Corporate Accountant
3884433322,2.296357845657811,-0.8463081963399739,79000.0,Associate,Full-time,PA,Northeast,25.0,0,Process Engineer
3884433381,4.781793590174247,-2.9715991063936915,109200.0,Mid-Senior level,Contract,TX,Southwest,15.254237288135593,0,Ruby on Rails Developer
3884433392,-1.2460402269949227,-0.5477384537735064,52500.0,Entry level,Full-time,DE,Northeast,,0,Index Bond Pricing Analyst
3884433408,0.8249824849923832,1.9418645894979933,125000.0,Mid-Senior level,Full-time,CT,Northeast,,0,Senior Architect
3884433456,-0.42034212130936915,1.5263718366742194,115000.0,Mid-Senior level,Full-time,CA,West,,0,"Project Architect, Justice+Civic"
3884433628,-0.7163088996046737,0.27361945218665085,32150.0,Mid-Senior level,Full-time,TX,Southwest,,0,"Assistant Claims Examiner (Onsite Irving, Texas)"
3884433916,-1.688036247313854,-1.039032893673337,29120.0,Entry level,Full-time,TX,Southwest,,0,Bilingual Customer Service Representative
3884433957,2.813506301915329,-0.42991226354994505,118560.0,Mid-Senior level,Full-time,GA,Southeast,11.428571428571429,0,HRIS Analyst
3884433990,1.7899849963779089,-1.5319469447063476,45760.0,Associate,Full-time,MA,Northeast,12.903225806451612,0,Manufacturing Associate
3884433992,3.9278142472931314,-2.0126913176310386,87500.0,Associate,Full-time,NY,Northeast,26.785714285714285,0,Employee Relations Specialist
3884433996,4.025788400630739,-1.7340491234886692,98800.0,Mid-Senior level,Contract,NJ,Northeast,17.5,0,Sr. Product Marketing Manager
3884434062,1.8250683716229499,1.929674687233656,94350.0,Mid-Senior level,Full-time,CA,West,6.666666666666667,0,Senior Project Manager - Operations Services
3884434095,0.9124658889491235,-0.27338876309255516,112000.0,Associate,Full-time,CA,West,11.11111111111111,0,Human Resources Generalist
3884434097,-0.560931969469153,0.9718866528209766,57200.0,Mid-Senior level,Full-time,CA,West,,0,Staff Accountant
3884434114,1.2211992619346788,0.8005406669981222,213200.0,Director,Contract,WA,West,,0,"Project Manager for global computer technology company in Redmond, WA."
3884434134,1.3227949309370088,0.9474649381429315,102500.0,Mid-Senior level,Full-time,VA,Southeast,14.285714285714285,0,Accounting Manager
3884434148,1.9677322223567337,-0.44196015949230694,64000.0,Mid-Senior level,Full-time,AZ,Southwest,18.75,0,Learning & Development Facilitator
3884434210,0.744720961427356,3.2725599212420984,215000.0,Director,Full-time,CO,West,,0,"Sr. Director, eCommerce Planning"
3884434211,5.188745361069177,-2.668010965291061,124800.0,Mid-Senior level,Contract,TN,Southeast,17.75700934579439,0,Quality Assurance Engineer (323816)
3884434225,-1.3931637838994635,-0.4394963440962239,50148.8,Entry level,Full-time,OR,West,,0,Counter Sales Representative
3884434286,2.0428046725584257,-0.7174999603414525,100000.0,Mid-Senior level,Contract,CA,West,4.545454545454546,0,Sr. Entertainment Account Manager
3884434338,5.994067106112482,-2.6609959153090137,140400.0,Mid-Senior level,Contract,WA,West,22.608695652173914,1,Sr. Executive Communications Storyteller
3884434736,-1.1462673164921706,-2.641220324365481,39520.0,Entry level,Contract,AZ,Southwest,,0,Contact Center Agent
3884434747,2.3808320500354876,-1.2398943305478884,88348.0,Associate,Full-time,PA,Northeast,4.504504504504505,0,Strategic & Sustainability Planner (9165)
3884434786,-1.461412489403533,-0.41718989958690705,50772.8,Entry level,Full-time,NJ,Northeast,,0,Dental Assistant
3884434792,3.866594715800931,-4.3383328759847775,75920.0,Associate,Contract,IL,Midwest,20.0,0,Graphic Designer 
3884434851,0.16076691473962665,1.9291058339031544,112500.0,Mid-Senior level,Full-time,HI,West,,0,Manager III - OSP Network
3884434864,-0.5595645192565732,0.7054262901377851,129500.0,Entry level,Full-time,CA,West,,0,"Program Manager, Digital & CRM Marketing"
3884434866,1.1880138482795435,-0.749236258970448,96720.0,Mid-Senior level,Contract,IL,Midwest,,0,Fiber Construction Manager
3884434939,7.325496110010898,-2.485545612665172,161200.0,Mid-Senior level,Contract,WA,West,33.85826771653544,1,Sr. Infrastructure Project Manager
3884434958,-0.18981364800827571,-0.510225711572173,56000.0,Entry level,Full-time,CA,West,5.88235294117647,0,Marketing and Sales Team Lead
3884435023,0.7667555050953856,1.420832453012838,112500.0,Mid-Senior level,Full-time,IL,Midwest,,0,Senior Business Systems Analyst
3884435078,2.9728374446662973,0.8140725385032056,190000.0,Mid-Senior level,Full-time,CA,West,11.76470588235294,0,Data Team Lead
3884435101,5.29638176751632,-1.559146845269766,125000.0,Mid-Senior level,Full-time,FL,Southeast,40.74074074074074,0,Sr. .NET Developer (BOCA RATON)
3884435151,0.37930689041283044,0.427053441243611,74620.0,Mid-Senior level,Full-time,AZ,Southwest,,0,Budget Analyst
3884435156,5.097740046842522,-3.33527322129533,63500.0,Associate,Full-time,IN,Midwest,35.714285714285715,0,Business Intelligence Analyst
