job_id,tsne_x,tsne_y,salary,experience_level,work_type,state,region,engagement_rate,remote,title
3904965593,20.3378,-58.575447,135000.0,Associate,Full-time,DC,Northeast,10.0,0,Information Assurance and Audit Support Analyst
3886452438,-83.61116,17.311594,57574.4,Entry level,Full-time,WA,West,,0,Sales Coordinator
3887853674,-7.101159,69.71937,92500.0,Mid-Senior level,Full-time,WA,West,17.391304347826086,0,Technical Writer
3898166796,27.846169,64.12267,94000.0,Mid-Senior level,Full-time,OR,West,7.6923076923076925,0,Geographic Information Systems Manager
3895809296,1.2695608,-37.066345,24960.0,Entry level,Full-time,TX,Southwest,25.0,0,Medical Scribe
3906226694,102.713936,15.106528,223600.0,Mid-Senior level,Full-time,AL,Southeast,,0,Data Scientist
3904954917,28.785694,-29.086147,89440.0,Mid-Senior level,Contract,TX,Southwest,3.4482758620689653,1,Remote Contracts and Compliance Manager
3905631492,-4.88807,-66.21445,33217.6,Entry level,Part-time,MI,Midwest,,0,Security Officer Weekend Part Time
3905206548,-28.14324,32.994427,90948.0,Director,Full-time,CA,West,,0,Unit Chief
3902367121,-29.602152,37.52124,254500.0,Director,Full-time,NY,Northeast,,0,Head of Liquidity Management
3901354843,3.2986612,-15.693288,76492.0,Mid-Senior level,Full-time,TX,Southwest,,0,CCU Registered Nurse
3902945556,62.15837,2.8406446,64480.0,Associate,Full-time,MD,Northeast,26.666666666666668,0,Network Operations Center Technician
3905859139,58.00351,-50.512077,76900.0,Entry level,Contract,SD,Midwest,,0,Agronomy Sales Representative
3886855373,52.85986,-45.56029,108838.08,Mid-Senior level,Contract,IL,Midwest,,0,RN UP - Neuro Med/Surg - 8C
3888942306,69.23766,-41.557697,134992.0,Entry level,Contract,VA,Southeast,,0,Network Engineer
3903470951,-30.64218,-5.1565166,53040.0,Entry level,Full-time,NY,Northeast,,0,Full-Time Assistant Store Manager
3903454796,99.82821,-13.00404,105000.0,Mid-Senior level,Full-time,CA,West,39.02439024390244,0,Database Developer
3895596992,-32.701817,53.94823,24000.0,Mid-Senior level,Full-time,NC,Southeast,,0,Experienced Diesel Technician / Truck Mechanic
3906256472,-46.969467,-8.084463,57500.0,Entry level,Full-time,NY,Northeast,,0,Associate Previsualization Technician
3885810875,21.55047,45.80209,93587.5,Mid-Senior level,Full-time,MO,Midwest,,0,Field Supervision Director - Annuity
3904075143,69.211365,43.48539,155000.0,Mid-Senior level,Full-time,NJ,Northeast,,0,Tax Manager
3887704053,35.756065,-55.91293,48880.0,Associate,Contract,NJ,Northeast,5.88235294117647,0,Accounts Payable Clerk
3884917608,-41.380264,-7.1396346,62500.0,Entry level,Full-time,NY,Northeast,,0,Accounts Receivable Specialist - Law Firm
3887904966,-43.7417,40.588184,175000.0,Mid-Senior level,Full-time,OH,Midwest,,0,Tax Manager
3895801650,-36.125423,16.314737,288700.0,Executive,Full-time,CA,West,,0,Vice President of ASIC Engineering
3905380181,-17.487263,-79.916084,140400.0,Mid-Senior level,Part-time,CA,West,,0,Advanced Provider - Emergency Medicine - Clovis Community Medical Center
3906259575,-16.186203,-56.54706,93887.5,Entry level,Other,VA,Southeast,,0,EPM Financial Analyst I
3891242899,29.290031,-36.58242,39520.0,Entry level,Contract,TX,Southwest,,0,Bilingual File Clerk
3902862926,-15.53931,90.87644,93763.5,Mid-Senior level,Full-time,CO,West,,0,Operations Supervisor
3889447435,-2.0365188,41.645615,78000.0,Mid-Senior level,Full-time,GA,Southeast,,0,Fine Dining Assistant General Manager
3887913862,30.059675,-11.691843,201215.0,Mid-Senior level,Full-time,NC,Southeast,,1,Experienced Life and Annuity Actuary - Remote
3902847516,8.382533,0.8430471,65000.0,Associate,Full-time,IL,Midwest,,0,Payroll Associate
3889441024,-43.928345,-81.386024,35724.0,Entry level,Part-time,CA,West,,0,Retail Sales – Part Time
3894556556,-12.697677,-20.330397,62500.0,Mid-Senior level,Full-time,TX,Southwest,,0,Assistant Territory Manager
3898161458,13.33708,27.267471,110000.0,Mid-Senior level,Full-time,CA,West,21.428571428571427,0,Security Engineer
3889758230,64.50174,6.0709176,43721.6,Associate,Full-time,PA,Northeast,5.88235294117647,0,Environment Specialist
3885858445,-36.479343,-36.541355,47840.0,Entry level,Full-time,FL,Southeast,,0,Benefits Coordinator
3884819258,-69.41981,13.638656,57500.0,Entry level,Full-time,CA,West,,0,"Maintenance Technician - San Jose, CA"
3903823610,65.39741,47.321854,85000.0,Mid-Senior level,Full-time,NJ,Northeast,,0,Brand Marketing Manager
3905327914,38.419857,-2.354122,39520.0,Associate,Full-time,CO,West,,0,Assistant Store Manager
3904365740,-1.336244,39.211533,100000.0,Mid-Senior level,Full-time,FL,Southeast,,0,Operations Manager
3901963331,34.0066,8.330211,93500.0,Mid-Senior level,Full-time,FL,Southeast,,0,"Tax Senior, Core Tax Services"
3904058977,-19.850828,89.514046,69680.0,Mid-Senior level,Full-time,NV,West,,0,Buyer
3904063306,-10.086688,-86.092575,475000.0,Mid-Senior level,Part-time,CT,Northeast,,0,Physician Anesthesiology
3904985969,-76.72741,8.937802,49920.0,Entry level,Full-time,WA,West,,0,"Associate Patient Call Representative, Part Time - OPA MSO"
3887573211,7.145963,55.681324,145000.0,Mid-Senior level,Full-time,NY,Northeast,,0,Sr Heavy Civil Construction Estimator
3888993383,-8.627531,15.60236,119600.0,Mid-Senior level,Contract,CA,West,,0,Marketing Science Lead - Onsite
3887491939,-48.26651,-19.254383,38480.0,Entry level,Full-time,NY,Northeast,,0,Inventory Specialist
3904386585,100.59031,-7.0639234,105250.0,Entry level,Full-time,MD,Northeast,9.67741935483871,1,API Developer
3887103333,-9.090157,-4.9447894,78000.0,Mid-Senior level,Contract,FL,Southeast,54.44444444444444,1,Data Analyst
3905849621,-18.609383,-57.764984,28496.0,Entry level,Other,IL,Midwest,,0,09889 Inside Sales
3904949146,94.83697,-1.624307,135200.0,Mid-Senior level,Full-time,CO,West,,0,Software Developer III
3899524682,46.915943,22.294569,110000.0,Mid-Senior level,Full-time,NY,Northeast,29.629629629629626,0,Audit Associate / Senior / Manager
3887913595,-1.7764032,-29.656116,100067.715,Entry level,Full-time,TX,Southwest,,0,Copy of Construction Engineer Ill
3904361922,-88.025635,12.425834,48880.0,Entry level,Full-time,CA,West,,0,"Sales Associate / Jewelry Consultant - Kay Jewelers Outlet - San Francisco Premium Outlets - Livermore, CA"
3904369846,-72.91973,7.76484,50533.600000000006,Entry level,Full-time,WA,West,,0,Patient Service Technician
3900080075,14.270474,-56.044407,97760.0,Mid-Senior level,Full-time,TX,Southwest,24.776119402985074,0,Supply Chain Analyst
3894622576,43.304432,12.138872,86000.0,Mid-Senior level,Full-time,WA,West,,0,Senior Account Executive
3906088824,71.08941,8.81835,57500.0,Associate,Full-time,NJ,Northeast,,0,Product Support Specialist (Help Desk)
3902843660,-6.275193,-41.333008,46000.0,Entry level,Full-time,TX,Southwest,,0,Help Desk Technician
3901160455,32.27288,50.548927,129500.0,Director,Full-time,VA,Southeast,,0,PWROG Analysis Committee Program Director
3901949275,-80.88823,-23.866528,125840.0,Entry level,Full-time,IN,Midwest,,0,Pharmacist
3886463725,-55.372177,61.024227,60892.0,Mid-Senior level,Full-time,IN,Midwest,,0,Production Team Member - 4 Year Grow-In!
3903476433,23.75727,26.411417,103500.0,Mid-Senior level,Full-time,MD,Northeast,,0,Electrical Engineer
3891078191,-20.984545,3.6879544,64500.0,Mid-Senior level,Temporary,NY,Northeast,,0,People Experience Expert Level II
3884839978,19.039015,-100.120804,35360.0,Internship,Full-time,IL,Midwest,,0,Upper Midwest Contracting Intern
3904386844,-21.896677,-12.072765,47000.0,Entry level,Full-time,NY,Northeast,22.22222222222222,0,"Associate, Integrated Media Planning"
3902792133,6.90453,23.724854,148803.19999999998,Entry level,Full-time,WA,West,,0,"Electrical Power Systems Engineer, Transmission Engineering"
3887906652,20.459877,4.5075006,77500.0,Mid-Senior level,Full-time,OH,Midwest,,0,Senior Staff Accountant
3903875371,-58.608196,60.081757,45000.0,Mid-Senior level,Full-time,WI,Midwest,,0,Research Specialist
3901680724,-71.03687,-24.557272,57000.0,Entry level,Full-time,IN,Midwest,,0,Registered Nurse - Nurse Family Partnership (Harrison/Floyd/Clark Counties)
3904949791,13.69673,12.056319,100000.0,Entry level,Full-time,GA,Southeast,,0,Wastewater Civil Engineer
3904366037,-9.352129,72.06852,75755.0,Mid-Senior level,Full-time,CA,West,5.263157894736842,0,Asst Mgr - Inflight
3894574843,-6.825882,-12.612301,90000.0,Mid-Senior level,Full-time,TX,Southwest,,0,Senior Accountant
3885101069,-77.63304,-47.8752,20800.0,Entry level,Full-time,WI,Midwest,,0,"Travel Nurse RN - PCU - $2,272 per week in Madison, WI"
3901375026,-6.8029637,70.36906,85000.0,Mid-Senior level,Full-time,CA,West,21.428571428571427,0,Health and Safety Officer Posting - NorCal Branch
3905318127,-22.742277,6.208588,104000.0,Entry level,Temporary,MA,Northeast,,0,IP Litigation Paralegal (Temp - Hybrid) 
