job_id,umap_x,umap_y,salary,experience_level,work_type,state,region,engagement_rate,remote,title
3904965593,13.192744,-18.14801,135000.0,Associate,Full-time,DC,Northeast,10.0,0,Information Assurance and Audit Support Analyst
3886452438,3.0931602,-6.780596,57574.4,Entry level,Full-time,WA,West,,0,Sales Coordinator
3887853674,-6.5993233,10.6662,92500.0,Mid-Senior level,Full-time,WA,West,17.391304347826086,0,Technical Writer
3898166796,1.9558414,-10.520168,94000.0,Mid-Senior level,Full-time,OR,West,7.6923076923076925,0,Geographic Information Systems Manager
3895809296,13.342714,-11.903809,24960.0,Entry level,Full-time,TX,Southwest,25.0,0,Medical Scribe
3906226694,-10.89262,-12.202053,223600.0,Mid-Senior level,Full-time,AL,Southeast,,0,Data Scientist
3904954917,10.590275,-13.880314,89440.0,Mid-Senior level,Contract,TX,Southwest,3.4482758620689653,1,Remote Contracts and Compliance Manager
3905631492,21.905262,5.5193815,33217.6,Entry level,Part-time,MI,Midwest,,0,Security Officer Weekend Part Time
3905206548,8.493221,-6.4185457,90948.0,Director,Full-time,CA,West,,0,Unit Chief
3902367121,8.035109,-5.955999,254500.0,Director,Full-time,NY,Northeast,,0,Head of Liquidity Management
3901354843,12.573002,-11.131794,76492.0,Mid-Senior level,Full-time,TX,Southwest,,0,CCU Registered Nurse
3902945556,14.127883,-6.3874817,64480.0,Associate,Full-time,MD,Northeast,26.666666666666668,0,Network Operations Center Technician
3905859139,17.79736,-10.802234,76900.0,Entry level,Contract,SD,Midwest,,0,Agronomy Sales Representative
3886855373,17.00287,-11.055362,108838.08,Mid-Senior level,Contract,IL,Midwest,,0,RN UP - Neuro Med/Surg - 8C
3888942306,9.007558,-14.4252825,134992.0,Entry level,Contract,VA,Southeast,,0,Network Engineer
3903470951,3.9576151,-8.995218,53040.0,Entry level,Full-time,NY,Northeast,,0,Full-Time Assistant Store Manager
3903454796,-15.303864,13.671594,105000.0,Mid-Senior level,Full-time,CA,West,39.02439024390244,0,Database Developer
3895596992,11.026204,-2.5342777,24000.0,Mid-Senior level,Full-time,NC,Southeast,,0,Experienced Diesel Technician / Truck Mechanic
3906256472,15.749713,3.8933108,57500.0,Entry level,Full-time,NY,Northeast,,0,Associate Previsualization Technician
