state,fips_int,median_salary,n_jobs
AL,1,118741.5,3
AR,5,180387.25,24
AZ,4,82201.0,3
CA,6,166049.5,281
CO,8,137919.75,8
CT,9,110470.5,10
DC,11,130356.25,4
DE,10,102845.5,11
FL,12,175823.5,13
GA,13,111435.0,7
ID,16,65938.5,4
IL,17,109763.25,32
IN,18,23903.0,25
KS,20,97734.0,1
MA,25,138599.75,24
MD,24,116455.0,24
MI,26,115541.0,5
MN,27,52987.0,27
MO,29,129379.5,1
MT,30,220344.0,1
NC,37,96819.0,9
NE,31,116654.75,2
NH,33,52552.0,4
NJ,34,114170.5,23
NM,35,153673.0,1
NY,36,134276.0,84
OH,39,125247.25,8
OK,40,114172.0,1
OR,41,116052.0,3
PA,42,86958.0,7
RI,44,197555.0,7
SC,45,130155.0,1
TN,47,23239.5,4
TX,48,116458.0,23
UT,49,147390.75,2
VA,51,147964.5,79
WA,53,163125.0,53
WI,55,153877.0,2
WY,56,25212.0,13
